Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
448319,Rabbit,19.93,0,19.93,1,Stray,11/10/2017 12:43,Abbotsford Branch,11/30/2017 11:02,H
501315,Rabbit,79.91,59.99,19.92,1,Stray,11/09/2019 14:33,Abbotsford Branch,01/28/2020 12:17,TR
472308,Rabbit,48.97,29.07,19.9,2,Stray,09/28/2018 16:15,Powell River & District Branch,11/16/2018 15:26,TR
433247,Rabbit,46.97,27.11,19.86,5,Stray,05/21/2017 15:45,Burnaby Branch,07/07/2017 15:00,UU
521578,Rabbit,19.84,0,19.84,0,Owner Surrender,12/09/2020 14:42,Kamloops & District Branch,12/29/2020 10:58,H
533208,Rabbit,19.81,0,19.81,4,Returns,09/12/2021 15:46,Sunshine Coast Branch ,10/02/2021 11:17,UU
521909,Rabbit,28.17,8.78,19.39,0,Owner Surrender,12/19/2020 09:56,East Kootenay Branch,01/16/2021 13:59,H
521911,Rabbit,28.17,8.78,19.39,0,Owner Surrender,12/19/2020 09:56,East Kootenay Branch,01/16/2021 13:59,H
427401,Rabbit,19.14,0,19.14,1,Owner Surrender,03/10/2017 11:32,Burnaby Branch,03/29/2017 14:56,H
442799,Rabbit,19.12,0,19.12,2,Owner Surrender,09/08/2017 12:58,Abbotsford Branch,09/27/2017 15:51,H
507060,Rabbit,19.11,0,19.11,4,Owner Surrender,02/13/2020 11:36,Maple Ridge Branch,03/03/2020 14:20,UU
489466,Rabbit,40.1,21.02,19.09,0,Stray,06/06/2019 12:28,North Peace Branch,07/16/2019 14:55,H
493192,Rabbit,35.06,15.97,19.09,0,Stray,07/26/2019 14:03,West Vancouver Branch,08/30/2019 15:26,UU
461094,Rabbit,105.15,86.08,19.07,0,Humane Officer Surrendered,05/15/2018 14:11,Vancouver Branch,08/28/2018 17:47,UU
513236,Rabbit,34.04,14.99,19.06,3,Owner Surrender,07/09/2020 12:50,Powell River & District Branch,08/12/2020 13:53,TR
533978,Rabbit,19.05,0,19.05,1,Owner Surrender,10/01/2021 15:10,Vancouver Branch,10/20/2021 16:20,H
532915,Rabbit,19.03,0,19.03,3,Stray,07/30/2021 13:11,Alberni-Clayoquot Branch,08/18/2021 14:00,H
478195,Rabbit,19.03,0,19.03,0,Owner Surrender,12/29/2018 15:30,Comox Valley & District Branch,01/17/2019 16:14,H
437098,Rabbit,19.02,0,19.02,0,Stray,07/05/2017 14:44,East Kootenay Branch,07/24/2017 15:15,H
478848,Rabbit,19.01,0,19.01,1,Stray,01/08/2019 14:22,Vancouver Branch,01/27/2019 14:33,H
454678,Rabbit,18.99,0,18.99,0,Returns,06/05/2018 12:33,Nanaimo & District Branch,06/24/2018 12:21,TR
